,Gender,EthnicGroup,ParentEduc,LunchType,NumberofSiblings,TransportMeans,WklyStudyHours,MathScore,ReadingScore,WritingScore
0,M,group B,master's degree,standard,4,school_bus,< 5,87,93,91
1,M,group C,some college,standard,0,school_bus,5 - 10,76,78,75
2,M,group B,associate's degree,standard,1,school_bus,5 - 10,73,84,79
3,M,group B,some college,standard,1,private,5 - 10,85,93,89
4,M,group B,some college,free/reduced,1,private,> 10,41,43,39
5,M,group D,high school,free/reduced,3,private,> 10,65,64,68
6,M,group C,associate's degree,standard,1,private,5 - 10,58,54,52
7,M,group D,associate's degree,standard,1,school_bus,5 - 10,40,52,43
8,M,group B,high school,standard,1,private,5 - 10,66,82,74
9,M,group A,some college,standard,1,private,> 10,80,73,71
10,M,group A,master's degree,standard,2,private,< 5,48,53,58
11,M,group C,high school,standard,0,school_bus,5 - 10,88,89,86
12,M,group B,some high school,free/reduced,1,school_bus,5 - 10,18,32,28
13,M,group C,master's degree,free/reduced,1,private,5 - 10,46,42,47
14,M,group C,associate's degree,free/reduced,3,private,< 5,50,56,58
15,M,group D,high school,standard,5,school_bus,5 - 10,66,69,63
16,M,group B,some college,free/reduced,2,school_bus,5 - 10,65,75,70
17,M,group A,master's degree,free/reduced,1,school_bus,5 - 10,75,76,76
18,M,group B,some college,standard,5,school_bus,< 5,66,53,53
19,M,group C,bachelor's degree,standard,4,school_bus,> 10,69,70,76
20,M,group C,high school,standard,1,private,5 - 10,70,70,65
21,M,group D,some college,standard,0,private,< 5,66,72,72
22,M,group E,master's degree,free/reduced,1,school_bus,5 - 10,56,73,66
23,M,group D,associate's degree,standard,2,private,5 - 10,76,82,85
24,M,group D,some high school,free/reduced,1,private,5 - 10,51,64,60
25,M,group D,associate's degree,free/reduced,1,school_bus,5 - 10,77,91,90
26,M,group B,associate's degree,free/reduced,5,school_bus,5 - 10,58,56,58
27,M,group C,associate's degree,free/reduced,0,school_bus,5 - 10,53,60,52
28,M,group B,some college,free/reduced,3,school_bus,5 - 10,60,65,67
29,M,group E,associate's degree,free/reduced,5,school_bus,< 5,48,55,52
30,M,group B,associate's degree,standard,3,school_bus,< 5,63,53,55
31,M,group E,some college,standard,3,school_bus,> 10,54,55,48
32,M,group C,some college,standard,3,school_bus,> 10,56,45,43
33,M,group D,high school,standard,2,school_bus,5 - 10,88,78,75
34,M,group C,high school,free/reduced,2,private,5 - 10,33,41,43
35,M,group E,associate's degree,standard,3,school_bus,> 10,84,86,87
36,M,group D,associate's degree,standard,2,private,5 - 10,52,55,49
37,M,group C,some high school,free/reduced,3,school_bus,> 10,0,17,10
38,M,group A,associate's degree,free/reduced,5,private,5 - 10,62,61,55
39,M,group D,some high school,standard,0,school_bus,5 - 10,59,58,59
40,M,group B,some high school,standard,1,private,< 5,63,62,58
41,M,group D,some high school,free/reduced,4,school_bus,5 - 10,45,37,37
42,M,group C,some college,standard,3,school_bus,5 - 10,61,73,75
43,M,group C,associate's degree,standard,3,school_bus,5 - 10,39,64,57
44,M,group D,some college,standard,3,private,> 10,64,55,64
45,M,group A,associate's degree,free/reduced,1,private,5 - 10,42,51,49
46,M,group C,some high school,free/reduced,3,school_bus,5 - 10,59,56,54
47,M,group C,some high school,standard,2,private,< 5,47,48,40
48,M,group E,some high school,standard,5,school_bus,5 - 10,28,25,21
49,M,group D,some high school,standard,2,school_bus,> 10,62,75,73
50,M,group E,master's degree,standard,1,school_bus,5 - 10,60,68,68
51,M,group B,associate's degree,standard,0,private,> 10,49,50,52
52,M,group E,associate's degree,standard,0,private,5 - 10,74,64,64
53,M,group D,high school,free/reduced,3,private,5 - 10,40,38,33
54,M,group C,some college,standard,0,private,5 - 10,73,80,82
55,M,group D,associate's degree,standard,0,private,5 - 10,71,71,74
56,M,group A,some college,standard,3,school_bus,< 5,57,69,67
57,M,group C,associate's degree,free/reduced,3,private,> 10,45,46,52
58,M,group B,some college,standard,4,private,5 - 10,81,87,94
59,M,group B,some high school,standard,5,school_bus,5 - 10,63,65,61
60,M,group D,bachelor's degree,standard,3,school_bus,< 5,64,66,62
61,M,group B,some college,standard,7,school_bus,5 - 10,79,67,67
62,M,group D,bachelor's degree,standard,1,private,5 - 10,68,74,74
63,M,group D,associate's degree,standard,3,school_bus,5 - 10,87,92,91
64,M,group B,high school,standard,3,school_bus,5 - 10,61,44,48
65,M,group C,some college,standard,0,school_bus,5 - 10,58,67,72
66,M,group D,master's degree,standard,3,private,5 - 10,87,100,100
67,M,group B,associate's degree,free/reduced,2,school_bus,5 - 10,52,76,70
68,M,group B,some high school,standard,3,school_bus,5 - 10,72,64,73
69,M,group D,associate's degree,free/reduced,4,school_bus,> 10,79,90,99
70,M,group A,associate's degree,standard,0,school_bus,5 - 10,54,53,47
71,M,group D,some college,standard,1,school_bus,< 5,47,56,51
72,M,group E,bachelor's degree,standard,3,school_bus,< 5,98,99,100
